title,news,index,url
"Meet the American who made us flip for hamburgers, Louis Lassen, Danish immigrant street-wagon cook",fox,1621,https://www.foxnews.com/lifestyle/meet-american-made-us-flip-hamburgers-louis-lassen-danish-immigrant-street-wagon-cook.print
Three fugitives convicted in $18 million Covid relief scam captured in Montenegro,nbc,3414,https://www.nbcnews.com/investigations/three-fugitives-stole-18-million-covid-relief-loans-captured-montenegr-rcna17375
Biden to host virtual meeting with governors to 'protect women's reproductive health' after abortion ruling,fox,246,https://www.foxnews.com/politics/biden-host-virtual-meeting-governors-protect-womens-reproductive-health-abortion-ruling
"Biden, Democrats falsely frame Green movement as 'economic': Charles Payne",fox,1886,https://www.foxnews.com/media/biden-democrats-falsely-frame-green-movement-economic-charles-payne
US spots where you can mine for diamonds and gemstones,fox,734,https://www.foxnews.com/travel/us-spots-where-you-can-mine-diamonds-gemstones.print
Snow impacts western NC mountain towns recovering from Hurricane Helene: 'Coldest air of the season so far',fox,505,https://www.foxnews.com/us/snow-impacts-western-nc-mountain-towns-recovering-hurricane-helene-coldest-air-season-far
The unnoticed election that could determine the future,fox,1650,https://www.foxnews.com/opinion/unnoticed-election-could-determine-future
"Biden questioned on migrant surge, says 'not rational' to 'send them back' to Venezuela, Cuba, Nicaragua",fox,1171,"https://www.foxnews.com/politics/biden-questioned-migrant-surge-says-not-rational-send-them-back-venezuela-cuba-nicaragua#&_intcmp=hp1bt1,hp1bt"
Keep your CDC vaccine card safe with these Covid vaccination card holders,nbc,3180,https://www.nbcnews.com/select/shopping/vaccine-card-holders-covid-ncna1278122
Election 2024: Trump campaigns in Pennsylvania ahead of Biden's U.N. speech,nbc,3276,https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-presidential-election-live-updates-rcna172152/rcrd56221?canonicalCard=true
"Democratic lawmakers caught on hot mic mocking parental rights as 'garbage,' 'stupid'",fox,1442,https://www.foxnews.com/politics/democratic-lawmakers-hot-mic-mocking-parental-rights-garbage-stupid
Beatles star Paul McCartney reflects on feud with John Lennon following band's split: 'It hurt',fox,949,https://www.foxnews.com/entertainment/beatles-paul-mccartney-john-lennon-the-lyrics-book
National Women's Soccer League faces lawsuit as former employee alleges sexual assault,fox,108,https://www.foxnews.com/sports/national-womens-soccer-league-faces-lawsuit-former-employee-alleges-sexual-assault
Kamala Harris declares ‘border is secure’ as thousands of illegals flood into US every day,fox,1697,https://www.foxnews.com/politics/kamala-harris-declares-border-secure-thousands-illegals-flood-us-every-day
Democrats worry about Harris' cautious media approach in tight 2024 race: 'Voters deserve better',fox,1237,https://www.foxnews.com/media/democrats-worry-harris-cautious-media-approach-tight-2024-race-voters-deserve-better
"Anti-Asian hate crimes increased by nearly 150% in 2020, mostly in N.Y. and L.A., new report says",nbc,2297,https://www.nbcnews.com/news/asian-america/anti-asian-hate-crimes-increased-nearly-150-2020-mostly-n-n1260264
Apple sued by Biden administration over alleged iPhone 'monopoly power',nbc,2836,https://www.nbcnews.com/business/business-news/apple-sued-doj-antitrust-monopoly-biden-rcna144424
"Iran enriching uranium to near weapons-grade levels, nuclear watchdog warns",nbc,3569,https://www.nbcnews.com/news/world/iran-enriching-uranium-weapons-grade-nuclear-iaea-rcna72753
"Howard Stern says he 'hates' anyone that votes for Trump: 'They are stupid, I have no respect for them'",fox,543,https://www.foxnews.com/media/howard-stern-says-he-hates-anyone-votes-trump-they-stupid-i-have-no-respect-them.print
Special counsel charges Trump with conspiracy to defraud the U.S. ,nbc,2678,https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199
Melania Trump says Donald Trump 'knew my position and my beliefs' on abortion 'since the day we met',nbc,3100,https://www.nbcnews.com/politics/2024-election/melania-trump-says-donald-trump-knew-abortion-beliefs-rcna174176
Trump urges Biden to follow through with debate promise: 'I'm ready to go anywhere',fox,1616,https://www.foxnews.com/politics/trump-urges-biden-follow-debate-promise-ready
"Lori Loughlin’s prison offers Pilates, spin class and more as she serves time in college admissions scandal",fox,1600,https://www.foxnews.com/entertainment/inside-lori-loughlin-prison-college-admissions-scandal
Blood tests for Alzheimer's may be coming to your doctor's office: What to know,fox,1228,https://www.foxnews.com/health/blood-tests-alzheimers-doctors-office
Earbuds or ear cuffs? These new headphones from Bose are both,nbc,3525,https://www.nbcnews.com/select/shopping/bose-ultra-open-earbuds-review-rcna138875
Minnesota falls to No. 12 Michigan to go under .500 with Gov Tim Walz in attendance,fox,612,https://www.foxnews.com/sports/minnesota-falls-no-12-michigan-go-under-500-gov-tim-walz-attendance
4 horses have died at Churchill Downs ahead of 149th Kentucky Derby,fox,1200,https://www.foxnews.com/sports/4-horses-died-churchill-downs-ahead-149th-kentucky-derby
